step_id,task_name,op_type,predecessors,std_duration,time_variance,work_load_score,rework_prob,required_workers,required_tools,station
S001,零件接收与登记,A,,25,5,5,0,1,,ST01
S002,超声波清洗,A,S001,25,5,5,0,1,,ST01
S003,高压清洗,A,S002,25,5,5,0,1,,ST01
S004,检验包装,A,S003,25,5,5,0,1,,ST01
P001,转子叶片安装,A,S004,60,5,5,0,1,,ST03
P002,核心机总成,A,P001,60,5,5,0,1,,ST03
P003,液压拉伸预紧螺栓,A,P002,60,5,5,0,1,,ST03
P004,高频动平衡测试,A,P003,60,5,5,0,1,,ST03
P011,密封环冷冻安装,A,P004,60,5,5,0,1,,ST03
P012,陶瓷轴承预紧力设定,A,P011,60,5,5,0,1,,ST03
P013,氦质谱检测,A,P012,60,5,5,0,1,,ST03
P021,燃烧室壳体定位,A,P013,60,5,5,0,1,,ST03
P022,燃烧室衬套安装,A,P021,60,5,5,0,1,,ST03
P031,燃烧室壳体定位,A,P022,60,5,5,0,1,,ST03
P032,燃烧室喷嘴安装,A,P031,60,5,5,0,1,,ST03
P041,模块对接,A,P032,60,5,5,0,1,,ST03
P042,热间隙补偿,A,P041,60,5,5,0,1,,ST03
P051,涡轮盘装配,A,P042,60,5,5,0,1,,ST03
P052,内窥镜检测,A,P051,60,5,5,0,1,,ST03
P061,冷态旋转测试,A,P052,60,5,5,0,1,,ST03
P062,氦质谱检测,A,P061,60,5,5,0,1,,ST03
D001,涡轮盘安装,A,S004,30,5,5,0,1,,ST05
D002,核心机总成,A,D001,30,5,5,0,1,,ST05
D003,液压拉伸预紧螺栓,A,D002,30,5,5,0,1,,ST05
D004,高频动平衡测试,A,D003,30,5,5,0,1,,ST05
D011,模块对接,A,D004,30,5,5,0,1,,ST05
D012,涡轮叶片安装,A,D011,30,5,5,0,1,,ST05
D013,热间隙补偿,A,D012,30,5,5,0,1,,ST05
D021,轴承安装,A,D013,40,5,5,0,1,,ST05
D022,密封集成,A,D021,30,5,5,0,1,,ST05
D031,动力涡轮总成,A,D022,40,5,5,0,1,,ST05
D041,冷态旋转测试,A,D031,30,5,5,0,1,,ST05
D042,氦质谱检测,A,D041,30,5,5,0,1,,ST05
G001,壳体定位,A,S004,32,5,5,0,1,,ST06
G002,壳体安装,A,G001,32,5,5,0,1,,ST06
G011,齿轮装配,A,G002,32,5,5,0,1,,ST06
G012,核心机总成,A,G011,32,5,5,0,1,,ST06
G013,液压拉伸预紧螺栓,A,G012,32,5,5,0,1,,ST06
G014,高频动平衡测试,A,G013,32,5,5,0,1,,ST06
G021,螺旋桨轴安装,A,G014,32,5,5,0,1,,ST06
G022,陶瓷轴承预紧力设定,A,G021,32,5,5,0,1,,ST06
G023,氦质谱检测,A,G022,32,5,5,0,1,,ST06
G031,轴承安装,A,G023,32,5,5,0,1,,ST06
G032,密封集成,A,G031,32,5,5,0,1,,ST06
G041,减速箱功能总成,A,G032,32,5,5,0,1,,ST06
G051,冷态旋转测试,A,G041,38,5,5,0,1,,ST06
G052,密封测试,A,G051,38,5,5,0,1,,ST06
F001,齿轮箱体校准,A,S004,28,5,5,0,1,,ST04
F002,箱体组装,A,F001,28,5,5,0,1,,ST04
F003,液压拉伸预紧螺栓,A,F002,28,5,5,0,1,,ST04
F004,高频动平衡测试,A,F003,28,5,5,0,1,,ST04
F011,主动轴齿轮安装,A,F004,28,5,5,0,1,,ST04
F012,陶瓷轴承预紧力设定,A,F011,28,5,5,0,1,,ST04
F013,氦质谱检测,A,F012,28,5,5,0,1,,ST04
F021,从动齿轮安装,A,F013,28,5,5,0,1,,ST04
F031,轴承安装,A,F021,28,5,5,0,1,,ST04
F032,密封集成,A,F031,28,5,5,0,1,,ST04
F041,附件装配,A,F032,28,5,5,0,1,,ST04
F051,齿轮啮合,A,F041,28,5,5,0,1,,ST04
F052,内窥镜检测,A,F051,28,5,5,0,1,,ST04
F061,冷态旋转测试,A,F052,28,5,5,0,1,,ST04
F062,密封测试,A,F061,28,5,5,0,1,,ST04
B001,燃油系统预装,A,,240,5,5,0,1,,ST07
B002,燃油系统总装,A,B001,240,5,5,0,1,,ST07
B011,滑油系统预装,A,,480,5,5,0,1,,ST09
B021,气动系统预装,A,,480,5,5,0,1,,ST08
B031,电气系统预装,A,,480,5,5,0,1,,ST10
B041,控制系统预装,A,,480,5,5,0,1,,ST10
A001,核心机与动力涡轮对接,A,P062;D042,120,5,5,0,1,,ST11
A002,减速齿轮箱安装,A,A001;G052,120,5,5,0,1,,ST11
A003,附件齿轮箱安装,A,A002;F062,120,5,5,0,1,,ST11
A004,各子系统管路连接,A,A003,120,5,5,0,1,,ST11
A005,外部附件安装,A,A004;B002;B011;B021;B031;B041,120,5,5,0,1,,ST11
A006,整机气密测试,A,A005,120,5,5,0,1,,ST11
A007,热试车准备,A,A006,120,5,5,0,1,,ST11
Q001,热试车台,A,A007,300,5,5,0,1,,ST13
Q002,性能数据采集,A,Q001,300,5,5,0,1,,ST13
Q003,最终检验,A,Q002,300,5,5,0,1,,ST13
Q004,包装与发运,A,Q003,300,5,5,0,1,,ST13
